# HotWire artifact -- Attack A2 (forced PreCharge discharge) evidence
# Vehicle: HYUNDAI IONIQ 6 (production unit, lab bench).
# Source: decoded from the DIN 70121 trace; extracted from the continuous forced-discharge segment of the recorded session.
# Duration: ~26 minutes of continuous forced-discharge activity (forged EVSEPresentVoltage actively sent, contactors closed).
# PRIVACY: the vehicle EVCCID/MAC and ALL link-layer & IPv6 addresses are EXCLUDED. Only protocol-reported
#          electrical fields and re-zeroed relative timestamps -- no identifiers of any kind.
# NOTE: all values are PROTOCOL-REPORTED (read from V2G messages), NOT externally metered.
# Columns: t_rel_s, EVSEPresentVoltage_V (forged), EVSEPresentCurrent_A (reported), EVTargetVoltage_V (vehicle)
t_rel_s,EVSEPresentVoltage_V,EVSEPresentCurrent_A,EVTargetVoltage_V
0.000,,,405
0.054,220,,
48.030,,,405
48.121,220,,
94.428,,,405
94.526,220,,
145.438,,,405
145.828,,,405
191.995,,,405
195.059,220,,
195.375,,,405
242.048,,,405
242.140,20,,
242.458,,,405
242.529,20,,
242.848,,,405
242.911,20,,
243.228,,,405
243.320,20,,
243.638,,,405
243.724,20,,
244.048,,,405
244.134,20,,
244.458,,,405
244.537,20,,
244.858,,,405
244.939,20,,
245.248,,,405
245.322,20,,
245.638,,,405
245.718,20,,
246.028,,,405
246.100,20,,
246.428,,,405
246.520,20,,
246.848,,,405
246.922,20,,
247.008,,,405
247.083,20,,
247.408,,,405
247.478,20,,
247.808,,,405
247.883,20,,
247.968,,,405
248.045,20,,
248.368,,,405
248.427,20,,
248.738,,,405
248.798,20,,
249.118,,,405
249.195,20,,
249.518,,,405
249.602,20,,
249.918,,,405
249.977,20,,
250.298,,,405
250.406,20,,
250.728,,,405
250.805,20,,
251.118,,,405
251.214,20,,
251.529,,,405
251.587,20,,
251.908,,,405
251.992,20,,
252.309,,,405
252.368,20,,
252.688,,,405
252.754,20,,
253.080,,,405
253.195,20,,
253.519,,,405
253.593,20,,
253.679,,,405
253.760,20,,
254.090,,,405
254.155,20,,
254.479,,,405
254.566,20,,
254.880,,,405
254.934,20,,
255.259,,,405
255.323,20,,
255.409,,,405
