# HotWire artifact -- Attack A2 (forced PreCharge / V2L) sustained-discharge evidence
# Vehicle: LUXGEN N7 (production unit, lab bench).
# Source: decoded from the recorded DIN 70121 trace of the full sustained-discharge session.
# Duration: ~100 minutes of continuous CurrentDemand activity (supports the >=60 min / ~1.25 kWh claim in Sec. 6).
# PRIVACY: the vehicle EVCCID/MAC and ALL link-layer & IPv6 addresses are EXCLUDED. This file contains
#          only protocol-reported electrical fields and relative timestamps -- no identifiers of any kind.
# NOTE: all values are PROTOCOL-REPORTED (read from V2G messages), NOT externally metered.
#       EVSEPresentCurrent is a fixed protocol value emitted by the rogue EVSE, not a measured current.
# Columns: t_rel_s, EVSEPresentVoltage_V (forged), EVSEPresentCurrent_A (reported), EVTargetVoltage_V (vehicle)
t_rel_s,EVSEPresentVoltage_V,EVSEPresentCurrent_A,EVTargetVoltage_V
0.000,,,342.9
0.122,196,,
0.168,,,342.9
0.209,221,,
0.267,,,342.9
0.328,246,,
0.402,,,342.9
0.453,271,,
0.503,,,342.9
0.542,296,,
0.671,,,342.9
0.718,321,,
0.768,,,342.9
0.809,326,,
0.868,,,342.9
0.946,331,,
1.070,,,342.9
1.161,336,,
1.268,,,342.9
1.348,341,,
1.470,,,342.9
1.537,346,,
1.668,,,342.9
1.709,346,,
1.768,,,342.9
1.818,346,,
1.870,,,342.9
1.907,346,,
1.968,,,342.9
2.028,346,,
2.068,,,342.9
2.125,346,,
2.168,,,342.9
2.215,346,,
2.268,,,342.9
2.321,346,,
2.368,,,342.9
2.440,346,,
2.568,,,342.9
2.662,346,,
2.768,,,342.9
2.862,346,,
2.969,,,342.9
3.059,346,,
3.171,,,342.9
3.246,346,,
3.668,,,413.6
3.811,0,200,
3.869,,,413.6
3.929,0,200,
4.069,,,413.6
4.132,0,200,
4.270,,,413.6
4.316,0,200,
4.369,,,413.6
4.430,0,200,
4.567,,,413.6
4.610,0,200,
4.669,,,413.6
4.728,0,200,
4.767,,,413.6
4.828,0,200,
4.867,,,413.6
4.983,0,200,
5.069,,,413.6
5.131,0,200,
5.300,,,413.6
5.364,0,200,
5.469,,,413.6
5.532,0,200,
5.668,,,413.6
5.729,0,200,
5.767,,,413.6
5.831,0,200,
5.968,,,413.6
6.036,0,200,
6.168,,,413.6
6.232,0,200,
6.368,,,413.6
6.426,0,200,
6.468,,,413.6
6.526,0,200,
6.668,,,413.6
6.738,0,200,
6.869,,,413.6
6.953,0,200,
7.068,,,413.6
7.151,0,200,
7.268,,,413.6
7.332,0,200,
7.470,,,413.6
7.540,0,200,
7.670,,,413.6
7.738,0,200,
7.869,,,413.6
7.928,0,200,
7.968,,,413.6
8.031,0,200,
8.168,,,413.6
8.243,0,200,
8.368,,,413.6
8.440,0,200,
8.602,,,413.6
8.663,0,200,
8.768,,,413.6
8.847,0,200,
8.968,,,413.6
9.040,0,200,
9.168,,,413.6
9.264,0,200,
9.369,,,413.6
9.466,0,200,
9.569,,,413.6
9.609,0,200,
9.668,,,413.6
9.733,0,200,
9.868,,,413.6
9.923,0,200,
9.968,,,413.6
10.031,0,200,
10.071,,,413.6
10.118,0,200,
10.168,,,413.6
10.228,0,200,
10.267,,,413.6
10.330,0,200,
10.368,,,413.6
10.431,0,200,
10.467,,,413.6
10.538,0,200,
10.668,,,413.6
10.788,0,200,
10.871,,,413.6
10.925,0,200,
11.067,,,413.6
11.143,0,200,
11.303,,,413.6
11.367,0,200,
11.467,,,413.6
11.532,0,200,
11.602,,,413.6
11.678,0,200,
11.800,,,413.6
11.864,0,200,
12.002,,,413.6
12.068,0,200,
12.170,,,413.6
12.264,0,200,
12.368,,,413.6
12.443,0,200,
12.570,,,413.6
12.639,0,200,
12.769,,,413.6
12.844,0,200,
12.970,,,413.6
13.052,0,200,
13.168,,,413.6
13.232,0,200,
13.368,,,413.6
13.447,0,200,
13.569,,,413.6
13.649,0,200,
13.769,,,413.6
13.851,0,200,
13.969,,,413.6
14.030,0,200,
14.168,,,413.6
14.229,0,200,
14.391,,,413.6
14.459,0,200,
14.568,,,413.6
14.655,0,200,
14.767,,,413.6
14.860,0,200,
14.968,,,413.6
15.062,0,200,
15.168,,,413.6
15.257,0,200,
15.367,,,413.6
15.470,0,200,
